The Acne-Portfolio Chooser	choosing-a-variant	quantified-outcome	product-only
The Ambient-Mood Buyer	seen-owning-it	identity-display	product-only
The Base-Layer Perfectionist	optimising-a-stack	ritual-construction	product-only
The Best-Seller-Plus-Code Buyer	waiting-for-the-price	value-arithmetic	product-only
The Body-Care Upgrader	optimising-a-stack	identity-display	peer-to-camera
The Celebrity-Founder Follower	cant-evaluate-it	borrowed-authority	celebrity
The Clinically-Validated Sleeper	cant-evaluate-it	borrowed-authority,quantified-outcome	clinician-figure
The Collection Completist	restocking	identity-display	product-only
The Colour-Payoff Judge	choosing-a-variant	spectacle-demo	product-only
The Community-Validated Buyer	cant-evaluate-it	peer-proof	product-only
The Design-Led Bathroom Stocker	seen-owning-it	identity-display	product-only
The Editorial-Beauty Aspirant	seen-owning-it	identity-display	celebrity
The Essentials-Kit Starter	first-time-in-category	value-arithmetic	product-only
The Exfoliation Convert	optimising-a-stack	origin-transparency	peer-to-camera
The Fold-Measuring Sceptic	rules-stopped-working	spectacle-demo	graphic
The Founder-Signature Follower	cant-evaluate-it	borrowed-authority	founder
The Full-Size-Plus-Mini Buyer	choosing-a-variant	value-arithmetic	product-only
The Hair-Movement Watcher	expects-it-to-be-unpleasant	spectacle-demo	peer-to-camera
The Handbag Decanter	life-event	identity-display	product-only
The Lip-Focused Beauty Buyer	choosing-a-variant	spectacle-demo	product-only
The Long-Hydration Claim Reader	choosing-a-variant	quantified-outcome	product-only
The Luxury-Bathroom Aspirant	seen-owning-it	identity-display	peer-to-camera
The Mineral-SPF Convert	vetting-ingredients	absence-screening	product-only
The Minimal-Label Believer	vetting-ingredients	absence-screening	product-only
The Mother Reading Baby Labels	buying-for-someone-else	absence-screening	product-only
The Natural-Deodorant Switcher	quitting-an-incumbent	absence-screening	product-only
The Percentage-Reduction Reader	cant-evaluate-it	quantified-outcome	graphic
The Potency-Multiple Shopper	cant-evaluate-it	quantified-outcome	product-only
The Powder-Format Loyalist	restocking	identity-display	product-only
The Product-In-Hand Reviewer	cant-evaluate-it	peer-proof	peer-to-camera
