41.1	The Smooth-Skin Shortcut Taker	life-event	identity-display	stranger	Poolside with drinks; the holiday is the reason and the product is the preparation for being seen.
41.2	The Smooth-Skin Shortcut Taker	seen-owning-it	spectacle-demo	graphic	Bottles the size of a yacht; the absurdity is the scroll-stop and the brand is the only message.
41.3	The Hair-Transformation Watcher	rules-stopped-working	peer-proof,spectacle-demo	peer-to-camera	Answering a comment about flyaways; the specificity of the complaint is what makes the answer credible.
41.4	The Damage-Repair Seeker	cant-evaluate-it	spectacle-demo,peer-proof	product-only	Pre and after one use side by side; why didn't I buy this sooner is the regret being pre-installed.
41.5	The Four-Benefit Consolidator	optimising-a-stack	value-arithmetic,retail-verification	product-only	Four functions in one bottle plus a Sephora line; she is clearing shelf space and checking availability.
41.6	The Scalp-First Convert	choosing-a-variant	identity-display	product-only	A scalp brush shot like a serum; the tool is being admitted into a routine that used to be just bottles.
41.7	The Object-As-Statement Buyer	seen-owning-it	identity-display	product-only	One object, one light, no copy; the price is being justified by how little the ad is willing to say.
41.8	The Object-As-Statement Buyer	seen-owning-it	identity-display	product-only	A tumbler, a coaster and playing cards; the props describe an evening she wants to be hosting.
41.9	The Object-As-Statement Buyer	seen-owning-it	identity-display	product-only	A coloured flute against pale sky; the glass is styled as sculpture rather than tableware.
41.10	The Object-As-Statement Buyer	life-event	identity-display	product-only	Dining and entertaining named directly; the occasion is a dinner she is hosting, not a shelf she is filling.
42.1	The Object-As-Statement Buyer	seen-owning-it	identity-display,borrowed-authority	graphic	A named artist collaboration in a rendered desert; the signature is what makes it collectible.
42.2	The Object-As-Statement Buyer	seen-owning-it	identity-display,borrowed-authority	graphic	A candy jar with legs; the strangeness is the point and the collaboration is the permission.
42.3	The Themed Gift Shopper	buying-for-someone-else	identity-display	graphic	The object emerging from a ribboned box; this is being bought for the moment it gets opened.
42.4	The Object-As-Statement Buyer	seen-owning-it	identity-display	graphic	A single leaf and the wordmark; the brand is behaving like a fashion house rather than a homeware brand.
42.5	The Everyday-Carry Curator	routine-as-content	identity-display	product-only	Flat cards next to a bag; the form factor is the pitch because it disappears into what she already carries.
42.6	The Scarcity-Cued Buyer	waiting-for-the-price	scarcity-or-apology,value-arithmetic	product-only	Sold out then back then discounted; the sequence assumes she was watching and missed it.
42.7	The Microplastic Auditor	quitting-an-incumbent	quantified-outcome,spectacle-demo	product-only	Three hundred sprays a bottle; refillable is being priced in units rather than argued as a virtue.
42.8	The Everyday-Carry Curator	routine-as-content	identity-display	product-only	Held like a pen; the object has to look good in a hand because that is where it will be seen.
42.9	The Supply-Chain Reader	vetting-ingredients	origin-transparency	product-only	Six botanicals listed by name; she reads a sanitiser the way she reads a serum.
42.10	The Category Defector	quitting-an-incumbent	blame-relocation	product-only	Your skin deserves better sanitizer blames the category rather than her hands; the whole aisle is the villain.
