7.1	The Frame-Try-On Browser	choosing-a-variant	risk-reversal	product-only	In seconds is the promise; the fear being addressed is how long choosing glasses normally takes.
7.2	The Frame-Try-On Browser	first-time-in-category	borrowed-authority	product-only	Google and Samsung logos under the brand; the co-sign is what makes a new category safe to consider.
7.3	The Eyewear-As-Signature Wearer	seen-owning-it	identity-display	athlete	Sunglasses on a golf course; the sport supplies the context that makes the frames read as equipment.
7.4	The Eyewear-As-Signature Wearer	choosing-a-variant	identity-display	product-only	A necessary accessory and a name; the frame is being introduced like a character.
7.5	The Buy-More-Save-More Restocker	restocking	value-arithmetic	graphic	Twenty percent off additional pairs; she already owns one, and the ad is only arguing about the second.
7.6	The Store-Visit Follower	choosing-a-variant	retail-verification	product-only	We're here, Rochester names a city; the ad is a shop opening dressed as a product post.
7.7	The Product-Feed Browser	choosing-a-variant	identity-display	product-only	One pair on white; at this point in the funnel he is comparing shapes, not brands.
7.8	The Product-Feed Browser	choosing-a-variant	identity-display	product-only	A patterned metal plate on white; the finish is the only thing distinguishing it from the last tile.
7.9	The Everyday-Carry Curator	quitting-an-incumbent	spectacle-demo	product-only	The old wallets laid out below the new one; the comparison is the argument and the bulk is the villain.
7.10	The Product-Feed Browser	choosing-a-variant	identity-display	product-only	A ring on white under the same wordmark; the brand is extending into what he already wears.
8.1	The Sweepstakes Entrant	waiting-for-the-price	scarcity-or-apology,peer-proof	graphic	Six years running and two winners; past winners' faces are the proof the prize is real.
8.2	The Everyday-Carry Curator	choosing-a-variant	quantified-outcome,risk-reversal	product-only	Ten percent lighter and a lifetime warranty; he owns the first version and is being sold the delta.
8.3	The Sweepstakes Entrant	waiting-for-the-price	scarcity-or-apology	graphic	Supercars lit in a warehouse; the wallet is not in frame because the wallet is not the offer.
8.4	The Sweepstakes Entrant	waiting-for-the-price	scarcity-or-apology	graphic	The same cars again; the giveaway is the whole media buy and the product is the entry mechanic.
8.5	The Fandom Collector	seen-owning-it	identity-display	product-only	A team mark on a wallet; the licence is the reason to replace something that still works.
8.6	The Man Watching Another Man's Routine	cant-evaluate-it	borrowed-authority	celebrity	A face he already trusts on reviews; the endorsement borrows a whole channel's credibility.
8.7	The Texture-Proof Watcher	choosing-a-variant	spectacle-demo	product-only	A ring turning in macro; the finish is the only differentiator and it has to be seen moving.
8.8	The Fandom Collector	seen-owning-it	identity-display	product-only	Customize your carry over a licensed print; the wallet is a surface for something else he likes.
8.9	The Aisle-Side Comparison Shopper	restocking	retail-verification	stranger	Now at a mass retailer; the ad exists to move the purchase from a website to a trip she was already taking.
8.10	The Scarcity-Cued Buyer	waiting-for-the-price	value-arithmetic,scarcity-or-apology	graphic	Final few and seventy-five percent off; the discount is deep enough that the product barely appears.
