33.1	The Themed-Kit Gifter	Buys a coordinated set for the presentation; the basket, the gingham and the fruit motif are the reason it converts.
33.2	The Seasonal Skin Resetter	Treats a change of season as the moment to change products; summer refresh is a calendar prompt rather than a claim.
33.3	The Body-Care Upgrader	Applies her face standards to the rest of her; a body butter in a serum-grade jar is what makes that upgrade legible.
33.4	The Skin-Type Doubter	Assumes most products were made for someone else's face; results for every skin type answers her before she asks.
33.5	The Mineral-SPF Convert	Has decided chemical filters are the problem and is looking specifically for mineral; the format is the requirement.
33.6	The Reluctant Sunscreen Wearer	Skips SPF because of how it feels and looks; glowy finish and lightweight are the objections being retired.
33.7	The Summer-Routine Publisher	Shares her regimen as content; the rooftop setting and the series framing are what make the product worth featuring.
33.8	The Handbag Decanter	Buys what fits the bag she is already carrying; the flat-lay with sandals and keys places the product in a day out.
33.9	The Natural-Deodorant Switcher	Has tried and abandoned natural deodorants before; a serious matte stick signals this one is not a hippie compromise.
33.10	The Mother Reading Baby Labels	Applying maximum scrutiny where she feels least able to take risks; stop rubbing chemicals on your baby is aimed straight at that vigilance.
34.1	The Potency-Multiple Shopper	Persuaded by comparative arithmetic; six thousand times stronger gives her a number to repeat to herself and others.
34.2	The Tallow-Curious Parent	Has met an unusual traditional ingredient online and wants it in a product made for infants.
34.3	The Routine-Demonstrating Peer	Wants a woman roughly her age holding the actual bottles in an actual bathroom.
34.4	The Sunscreen-Ingredient Fearer	Has become frightened of conventional SPF; poison-free reframes sun protection as the safer of two dangers.
34.5	The Hair-Movement Watcher	Judges a wash on how hair falls afterwards; the swing in the shot is the entire claim.
34.6	The Sensory-Escape Buyer	Buying a place and a mood; the bathhouse scene sells the ritual the bottle is only a prop in.
34.7	The Hair-Movement Watcher	Judges a wash on how hair falls afterwards; the swing in the shot is the entire claim.
34.8	The Design-Led Bathroom Stocker	Buys for the label; a strong illustrated bottle earns counter space that performance alone would not.
34.9	The Scent-Led Shampoo Buyer	Chooses hair products by smell above all; naming the scent as the headline respects what she actually decides on.
34.10	The Robe-And-Mirror Reviewer	Trusts a woman filming herself mid-routine; the unstyled setting is what makes it read as use rather than promotion.
35.1	The Exfoliation Convert	Believes the step she is missing is removal rather than addition; plant enzymes and olive pits make it sound gentle enough to try.
35.2	The Wild-Foraged Ingredient Romantic	Buys provenance and story; wild-foraged is doing work no active ingredient could.
35.3	The Two-Product Comparer	Deciding between variants and wants them held side by side by someone who has used both.
35.4	The Verified-Review Reader	Needs the five stars and the words verified customer; the specificity of after-sun use is what makes it credible.
35.5	The Luxury-Bathroom Aspirant	Buying the marble and the robe as much as the balm; the setting sets the price expectation.
35.6	The Why-Should-I Explainer Seeker	Will not adopt a step until someone explains the reason; the teaching format is the persuasion.
35.7	The Lip-Focused Beauty Buyer	Buys one feature obsessively; an extreme close-up of a mouth is the whole category to her.
35.8	The Founder-Signature Follower	Treats a personal note and signature as a direct recommendation from the celebrity herself.
35.9	The Colour-Payoff Judge	Decides on the swatch; the pigment on skin is the only test she runs.
35.10	The Base-Layer Perfectionist	Cares about what goes under the makeup; primer framing appeals to someone who thinks in steps.
36.1	The Essentials-Kit Starter	Wants to be told the minimum viable set; essentials removes the burden of choosing among a full range.
36.2	The Powder-Format Loyalist	Has a strong preference for pressed formats; the open compact is what she is buying.
36.3	The Clinically-Validated Sleeper	Needs a named doctor and a percentage before believing a pillow can affect her face.
36.4	The Side Sleeper Discovering A Cost	Has never connected her sleeping position to her face; being told side sleeping causes wrinkles reframes a lifelong habit as damage.
36.5	The Fold-Measuring Sceptic	Wants the comparison shown at magnification; putting two pillows side by side is what makes an abstract claim checkable.
36.6	The Twenty-Something Seeing Early Lines	Alarmed to find creases at an age she thought was safe; the number in the line is the shock.
36.7	The Percentage-Reduction Reader	Converts on a quantified outcome; sixty-seven per cent is the fact she will repeat.
36.8	The Best-Seller-Plus-Code Buyer	Wants popularity and a discount together; the promo code turns intent into an order.
36.9	The Man Explaining Fragrance To Camera	Wants a peer to describe how something smells in plain words rather than perfume copy.
36.10	The Designer-Dupe Numbered Shopper	Shops a numbered catalogue of alternatives; the number system is the discretion that makes buying a dupe comfortable.
