33.1	The Trade Account Holder	buying-for-someone-else	risk-reversal,identity-display	product-only	Free in-home installation aimed at Trade Collective members; the buyer here is specifying, not sleeping.
33.2	The New-Mattress Unboxer	routine-as-content	ritual-construction	product-only	Little moments over a box still on the bed; the delivery day is being sold as the experience.
33.3	The New-Mattress Unboxer	cant-evaluate-it	spectacle-demo	product-only	Now I get it said over plastic wrap; the expansion is the demo nobody believes until they see it.
33.4	The Softness Sceptic	cant-evaluate-it	spectacle-demo,peer-proof	peer-to-camera	Strong yet airy is a contradiction she needs shown; the sheet thrown in the air is the only evidence.
33.5	The Toddler-Transition Parent	life-event	peer-proof	peer-to-camera	The crib is in frame for the last time; the purchase is triggered by a milestone, not a mattress.
33.6	The Bedroom-As-Sanctuary Decorator	routine-as-content	identity-display	stranger	A styled room with someone asleep in it; the art on the wall is doing as much selling as the bed.
33.7	The Bedroom-As-Sanctuary Decorator	seen-owning-it	identity-display	product-only	An empty made bed in good light; the room is the aspiration and nobody needs to be in it.
33.8	The Bedroom-As-Sanctuary Decorator	seen-owning-it	identity-display	peer-to-camera	Things I find chic, bedroom edition; the mattress is entering a taste list, not a comparison set.
33.9	The Fandom Collector	seen-owning-it	identity-display,scarcity-or-apology	graphic	The licence occupies the whole frame; the garment underneath is almost incidental to the decision.
33.10	The Fandom Collector	seen-owning-it	identity-display	stranger	Two people in matching licensed robes; the fandom is being worn socially rather than privately.
34.1	The Fandom Collector	seen-owning-it	identity-display	graphic	A character on a colour field and two logos; recognition is the entire creative brief.
34.2	The Fandom Collector	choosing-a-variant	spectacle-demo	product-only	Close on the pile and the print; at this stage she is choosing which character, not whether.
34.3	The Store-Visit Follower	cant-evaluate-it	retail-verification,peer-proof	peer-to-camera	Filmed on the steps of the actual store; the storefront is the proof that this is a real place.
34.4	The Seasonal Room Refresher	choosing-a-variant	identity-display	graphic	Summer snapshot framed as a polaroid; the season is the reason and the chair is the purchase.
34.5	The Seasonal Room Refresher	choosing-a-variant	borrowed-authority,identity-display	graphic	A named design partnership above the product; she is buying someone else's taste with the chair.
34.6	The Seasonal Room Refresher	routine-as-content	identity-display	product-only	A gallery wall assembled and lit; the ad is showing an arrangement she could copy, not an item.
34.7	The Themed Gift Shopper	buying-for-someone-else	identity-display	product-only	Ski gear, plaid and two books; the flatlay is a gift guide for a person defined by a hobby.
34.8	The Slow-Ritual Aspirant	routine-as-content	ritual-construction	stranger	A robe walking into a bathroom in silence; the hour is being sold before any product appears.
34.9	The Bedroom-As-Sanctuary Decorator	seen-owning-it	identity-display	stranger	Wrapped in a duvet outdoors; lazy luxury makes rest into a look rather than a need.
34.10	The Slow-Ritual Aspirant	routine-as-content	identity-display	stranger	Vacation mode every night promises a state, not a fabric; the greenery is doing the escaping.
