The 40-Something Told She Just Let Herself Go	body-changed-overnight	blame-relocation	peer-to-camera
The Aesthetic UTI Sufferer	unsayable-symptom	identity-display	product-only
The Comment-Section Believer	cant-evaluate-it	peer-proof	graphic
The Consistency-Discounted Subscriber	restocking	value-arithmetic	product-only
The Cortisol Explainer	body-changed-overnight	blame-relocation	product-only
The Dated-Deadline Dieter	life-event	quantified-outcome	graphic
The Fifty-Something Comparison Shopper	body-changed-overnight	borrowed-authority	celebrity
The Forty-Something Whose Body Changed Without Warning	body-changed-overnight	blame-relocation	peer-to-camera
The Mechanism-Wanting Skeptic	rules-stopped-working	quantified-outcome	graphic
The Menopausal Woman With Joint Pain	body-changed-overnight	borrowed-authority	clinician-figure
The Red-Flag Self-Diagnoser	body-changed-overnight	blame-relocation	graphic
The Spanish-Speaking Routine Sharer	routine-as-content	peer-proof	peer-to-camera
The Spanish-Speaking Try-Before-Buy Shopper	first-time-in-category	risk-reversal	peer-to-camera
The Still-Moving Older Woman	body-changed-overnight	peer-proof	peer-to-camera
The Texture-First Skincare Buyer	expects-it-to-be-unpleasant	spectacle-demo	peer-to-camera
The Under-Eye Self-Auditor	body-changed-overnight	spectacle-demo	peer-to-camera
The Vernacular-First Confidante	unsayable-symptom	naming-the-shame	peer-to-camera
The Woman Cataloguing Her Own Symptoms	body-changed-overnight	blame-relocation	peer-to-camera
The Woman Doing Everything Right And Getting Nowhere	rules-stopped-working	blame-relocation	graphic
The Woman Quietly Managing PCOS Symptoms	unsayable-symptom	spectacle-demo	graphic
The Woman Snapping At Her Family	unsayable-symptom	blame-relocation	graphic
The Woman Who Followed the Fat-Loss Rules and Got Worse	rules-stopped-working	blame-relocation	peer-to-camera
The Woman Who Named Her Belly "Menobelly"	body-changed-overnight	blame-relocation	peer-to-camera
The Woman Who Stopped Taking It	restocking	peer-proof	peer-to-camera
The Woman Whose Forties Arrived Overnight	body-changed-overnight	blame-relocation	peer-to-camera
The Woman Whose Sex Life Became a Health Problem	unsayable-symptom	naming-the-shame	product-only
The 4AM Thirst Sufferer	named-hour	naming-the-shame	peer-to-camera
The Alt-Health Researcher	rules-stopped-working	borrowed-authority	clinician-figure
The Amazon-Native Buyer	restocking	retail-verification	product-only
The At-Home Barista Without A Machine	quitting-an-incumbent	value-arithmetic	peer-to-camera
The Bed-Rotting Girlie	rules-stopped-working	naming-the-shame	graphic
The Bedrotting Self-Diagnoser	rules-stopped-working	naming-the-shame	graphic
The Bundle Arithmetician	waiting-for-the-price	value-arithmetic	product-only
The Bundle-Maximiser	waiting-for-the-price	value-arithmetic	product-only
The Christmas-Bedding Refresher	life-event	identity-display	peer-to-camera
The Coconut-Water Ranker	choosing-a-variant	peer-proof	peer-to-camera
The Coffee Swapper Who Wants a Flat Stomach	quitting-an-incumbent	blame-relocation	product-only
The Coffeemaxxing Optimiser	optimising-a-stack	identity-display	peer-to-camera
