The Aesthetic Bathroom Shopper	seen-owning-it	identity-display	product-only
The Aesthetic-Procedure Curious	quitting-an-incumbent	borrowed-authority	product-only
The Age-Spot Noticer	body-changed-overnight	quantified-outcome	product-only
The Anti-Ageing Crossover Buyer	body-changed-overnight	value-arithmetic	product-only
The Arab Girlie With Peach Fuzz	unsayable-symptom	peer-proof	peer-to-camera
The ASMR Routine Watcher	routine-as-content	spectacle-demo	product-only
The At-Home Aftercare Adopter	unsayable-symptom	ritual-construction	peer-to-camera
The At-Home Device Sceptic Being Won Over	rules-stopped-working	peer-proof	peer-to-camera
The Bathroom-Cabinet Restocker	restocking	value-arithmetic	peer-to-camera
The Blade-Count Logic Follower	choosing-a-variant	quantified-outcome	graphic
The Bundle Comparison Reader	choosing-a-variant	value-arithmetic	product-only
The Character-Collaboration Collector	seen-owning-it	identity-display	product-only
The Clinic-Price Refuser	quitting-an-incumbent	value-arithmetic	graphic
The Cola-Stain Worrier	unsayable-symptom	spectacle-demo	product-only
The College Move-In Shopper	life-event	value-arithmetic	product-only
The College-Football Tribalist	seen-owning-it	identity-display	graphic
The Colour-Theory Curious	expects-it-to-be-unpleasant	spectacle-demo	graphic
The Courtside Accessory Watcher	seen-owning-it	identity-display	celebrity
The Disposable-Razor Accumulator	quitting-an-incumbent	value-arithmetic	product-only
The Esthetician Buying for Her Back Bar	buying-for-someone-else	value-arithmetic	product-only
The Everything-Shower Ritualist	routine-as-content	ritual-construction	graphic
The Expressive-Reaction Follower	cant-evaluate-it	peer-proof	peer-to-camera
The Face-Shaver Upgrading Hardware	optimising-a-stack	spectacle-demo	product-only
The Fantasy-Ritual Aesthete	routine-as-content	identity-display	peer-to-camera
The First-Order Discount Taker	first-time-in-category	value-arithmetic	peer-to-camera
The Fragrance-Tier Chooser	choosing-a-variant	identity-display	graphic
The Free-Gift-Threshold Shopper	waiting-for-the-price	value-arithmetic	product-only
The Free-Product Pile Believer	waiting-for-the-price	scarcity-or-apology	graphic
The Gift-Set Buyer	buying-for-someone-else	identity-display	product-only
The Girl With Nothing On At 6PM	named-hour	ritual-construction	peer-to-camera
The Guy Who Wants the Scent Girls Notice	seen-owning-it	peer-proof	peer-to-camera
The Hand-Result Reporter	body-changed-overnight	peer-proof	peer-to-camera
The Holiday-Prep Groomer	life-event	ritual-construction	product-only
The Honest-Result Demander	rules-stopped-working	peer-proof	peer-to-camera
The Ingrown-Fix Searcher	unsayable-symptom	quantified-outcome	product-only
The Ingrown-Hair Sufferer	unsayable-symptom	naming-the-shame	graphic
The Last-Minute Date Preparer	life-event	ritual-construction	product-only
The Locker-Room Joke Audience	seen-owning-it	naming-the-shame	graphic
The Man Asking About Down There	unsayable-symptom	naming-the-shame	clinician-figure
The Man Comparing Against The Drawer	quitting-an-incumbent	spectacle-demo	graphic
The Man Who Wants Clinic Results Without a Clinic	quitting-an-incumbent	borrowed-authority	clinician-figure
The Man With A Chaotic Grooming Drawer	quitting-an-incumbent	naming-the-shame	graphic
The Mess-Tolerant Realist	rules-stopped-working	peer-proof	peer-to-camera
The Minimal-Object Aesthete	seen-owning-it	identity-display	product-only
The Mistake-Deal Pouncer	waiting-for-the-price	scarcity-or-apology	graphic
The Packing-Cube Traveler	life-event	identity-display	product-only
The Postpartum Woman With PCOS	unsayable-symptom	peer-proof	peer-to-camera
The Price-Anchored Drugstore Defector	quitting-an-incumbent	value-arithmetic	product-only
The Razor-As-Self-Expression Buyer	seen-owning-it	identity-display	product-only
The Review-Screenshot Scanner	cant-evaluate-it	peer-proof	graphic
The Salon Client Who Waited Too Long	rules-stopped-working	peer-proof	peer-to-camera
The Science-Experiment Watcher	expects-it-to-be-unpleasant	spectacle-demo	graphic
The Seasonal Scent Switcher	life-event	identity-display	product-only
The Sensitive-Skin Shaver	unsayable-symptom	absence-screening	product-only
The Sensory-Jar Buyer	expects-it-to-be-unpleasant	spectacle-demo	product-only
The Shark-Tank Validated Shopper	cant-evaluate-it	borrowed-authority	celebrity
The Shaving-Fatigued Bikini-Line Owner	unsayable-symptom	naming-the-shame	product-only
The Single-Problem Solver	choosing-a-variant	spectacle-demo	product-only
The Single-Quote Convert	cant-evaluate-it	peer-proof	product-only
The Spanish-Speaking At-Home Laser Convert	quitting-an-incumbent	peer-proof	peer-to-camera
The Special-Edition Grooming Buyer	seen-owning-it	scarcity-or-apology	product-only
The Sub-Five-Dollar Impulse Buyer	waiting-for-the-price	value-arithmetic	peer-to-camera
The Surreal-Ad Rememberer	seen-owning-it	spectacle-demo	graphic
The Sweat-Anxious Man	unsayable-symptom	spectacle-demo	peer-to-camera
The Target-Aisle Verifier	restocking	retail-verification	peer-to-camera
The Time-Blocked Router	routine-as-content	ritual-construction	graphic
The Ulta-Aisle Discoverer	restocking	retail-verification	peer-to-camera
The Unboxing Evaluator	first-time-in-category	spectacle-demo	peer-to-camera
The Underarm-First Practical Buyer	first-time-in-category	spectacle-demo	peer-to-camera
The Woman Noticing Her Hands	body-changed-overnight	quantified-outcome	peer-to-camera
The Woman Reclaiming Confidence In Her Own Body	unsayable-symptom	identity-display	peer-to-camera
The Woman Who Saw Someone Older With Better Hands	body-changed-overnight	peer-proof	peer-to-camera
The Woman With Chin Hair She Tells No One About	unsayable-symptom	naming-the-shame	product-only
