The Artist-Collaboration Buyer	seen-owning-it	identity-display	product-only
The Aspirational-Dressing Watcher	seen-owning-it	identity-display	peer-to-camera
The Authenticity-Signalling Buyer	seen-owning-it	origin-transparency	graphic
The Awards-Badge Deferrer	cant-evaluate-it	borrowed-authority	product-only
The Bangs Regretter	body-changed-overnight	peer-proof	peer-to-camera
The Barbershop-Culture Buyer	seen-owning-it	identity-display	graphic
The Big-Colour Committer	first-time-in-category	spectacle-demo	peer-to-camera
The Bold-Colour Client	choosing-a-variant	absence-screening	peer-to-camera
The Buildup-Obsessed Scalp Watcher	unsayable-symptom	spectacle-demo	product-only
The Category Sceptic Holding The Bottle	first-time-in-category	peer-proof	peer-to-camera
The Clean-Beauty Shelf Curator	seen-owning-it	identity-display	product-only
The Cleansing-Without-Stripping Convert	quitting-an-incumbent	absence-screening	peer-to-camera
The Club-Store Bulk Buyer	restocking	value-arithmetic	product-only
The Coastal-Life Aspirant	seen-owning-it	identity-display	peer-to-camera
The Colour-Name Shopper	choosing-a-variant	identity-display	product-only
The Colour-Treated Protector	restocking	absence-screening	product-only
The Costco Aisle Convert	restocking	retail-verification	product-only
The Curl-Type Matcher	choosing-a-variant	peer-proof	peer-to-camera
The Curly-Hair Colour Sceptic	expects-it-to-be-unpleasant	peer-proof	peer-to-camera
The Curly-Hair Time Economist	named-hour	quantified-outcome	product-only
The Damage-Repair Loyalist	restocking	borrowed-authority	product-only
The Deadpan Reviewer's Audience	cant-evaluate-it	peer-proof	peer-to-camera
The Drop-Watching Colour Fan	seen-owning-it	scarcity-or-apology	product-only
The Editor-Approved Shopper	cant-evaluate-it	borrowed-authority	product-only
The Effortless-Texture Aspirant	seen-owning-it	identity-display	peer-to-camera
The Fine-Hair Volume Seeker	body-changed-overnight	spectacle-demo	product-only
The Frizz-Fighter Who Nearly Quit	rules-stopped-working	peer-proof	peer-to-camera
The Full-Range Displayer	restocking	identity-display	product-only
The Gadget-Curious Beauty Buyer	optimising-a-stack	spectacle-demo	peer-to-camera
The Get-The-Look Copier	seen-owning-it	peer-proof	peer-to-camera
The Glass-Hair Aspirant	seen-owning-it	spectacle-demo	peer-to-camera
The Hair-Damage-Avoiding Sleeper	unsayable-symptom	absence-screening	product-only
