The 2PM Crasher	The Self-Blamer Let Off The Hook
The 40-Something Told She Just Let Herself Go	The Self-Blamer Let Off The Hook
The Acne-Portfolio Chooser	The Overwhelmed Ingredient Shopper
The Aesthetic Bathroom Shopper	The Bathroom-Shelf Displayer
The Aesthetic UTI Sufferer	The Intimate-Symptom Confessor
The Aesthetic-Procedure Curious	The At-Home Laser Convert
The Ambient Morning Ritualist	The Morning-Ritual Filmer
The Ambient-Mood Buyer	The Bathroom-Shelf Displayer
The Anti-Ageing Crossover Buyer	The At-Home Laser Convert
The Apology-Discount Recipient	The Cart-Screenshot Convert
The Apothecary-Shelf Curator	The Bathroom-Shelf Displayer
The Arab Girlie With Peach Fuzz	The Smooth-Skin Shortcut Taker
The Artist-Collaboration Buyer	The Fandom Collector
The Aspirational-Dressing Watcher	The Hair-Transformation Watcher
The Aspirational-Lifestyle Follower	The Monogram Signaller
The At-Home Aftercare Adopter	The Bikini-Line Perfectionist
The At-Home Barista Without A Machine	The At-Home Cafe Recreator
The Atelier-Story Buyer	The Supply-Chain Reader
The Authenticity-Signalling Buyer	The Trade-Pro Recommended Buyer
The Award-Badge Reassured	The Editor-Endorsement Follower
The Awards-Badge Deferrer	The Editor-Endorsement Follower
The BOGO Deadline Responder	The Scarcity-Cued Buyer
The Bangs Regretter	The Damage-Repair Seeker
The Bar-Fatigued Real-Food Believer	The Food-Porn Comparator
The Barbershop-Culture Buyer	The Trade-Pro Recommended Buyer
The Barefoot Texture Tester	The Texture-Proof Watcher
The Barefoot-Shoe Adjacent Buyer	The Foot-Shape Convert
The Basic-Layer Restocker	The Product-Feed Browser
The Bathroom-Cabinet Restocker	The Buy-More-Save-More Restocker
The Bedroom-Update Documenter	The Bedroom-As-Sanctuary Decorator
The Bedrotting Self-Diagnoser	The Self-Blamer Let Off The Hook
The Bedtime Ritual Builder	The Bedtime Sequence Builder
The Best-Seller-Plus-Code Buyer	The Free-Gift Threshold Buyer
The Big-Colour Committer	The Home Colour Experimenter
The Blade-Count Logic Follower	The Sceptic Who Wants A Diagram
The Bold-Colour Client	The Damage-Repair Seeker
The Brand-Cap Loyalist	The Fandom Collector
The Brand-Recall Target	The Product-Feed Browser
The Breakfast Rule-Breaker	The Dieter Who Refuses To Give Up Dessert
The Breakfast-Protein Problem-Solver	The Protein-Target Tracker
The Buildup-Obsessed Scalp Watcher	The Scalp-First Convert
The Bulk Sachet Stocker	The Cost-Per-Day Calculator
The Bulk-Box Household Stocker	The Variety-Pack Household Buyer
The Bulk-Value Gummy Skeptic	The Warehouse-Scale Believer
The Bundle Arithmetician	The Free-Gift Threshold Buyer
The Bundle Comparison Reader	The Kit-Over-Components Buyer
The Bundle-And-Save Bed Buyer	The Kit-Over-Components Buyer
